batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1807 ATHENS RESILIENT CITY/20200721_KOKKEREL FINAL ALL,failed,41,0.0,0,0,0,1807_09_A115_B_,0.0,1,2025-10-17T11:22:44.563789
1807 ATHENS RESILIENT CITY/20200721_ΥΠ,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:22:44.566645
1807 ATHENS RESILIENT CITY/20200728_REV04,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:22:44.566912
1807 ATHENS RESILIENT CITY/20200914_PRESENTATION,failed,6,0.0,0,0,0,20190913-ΠΡΟΜΕΛΕΤΗ_ΑΒ,2.21,1,2025-10-17T11:22:44.567173
1807 ATHENS RESILIENT CITY/20200922_Draft Submission_PDFs,failed,9,0.0,0,0,0,1807_02_A012_rev3,0.0,1,2025-10-17T11:22:46.773603
1807 ATHENS RESILIENT CITY/20200923_Draft Submission_PDFs,failed,7,0.0,0,0,0,1807_02_A012_rev3,0.0,1,2025-10-17T11:22:46.774794
1807 ATHENS RESILIENT CITY/20200925_PHASE 2,failed,52,0.0,0,0,0,1807_01_ΛΙΣΤΑ_ΣΧΕΔΙΩΝ-ΣΙΝΑ,22.07,1,2025-10-17T11:22:46.775365
1807 ATHENS RESILIENT CITY/20201020_AB FINAL ALL,failed,26,0.0,0,0,0,1807_ΛΙΣΤΑ_ΣΧΕΔΙΩΝ-ΑΒ,3.03,1,2025-10-17T11:23:08.850854
1807 ATHENS RESILIENT CITY/20201109_984 PHASE 2,failed,14,0.0,0,0,0,1807_03_A111,0.04,1,2025-10-17T11:23:11.884002
1807 ATHENS RESILIENT CITY/20201201_KOKKEREL,failed,51,0.0,0,0,0,1807_09_ME_A311-01_SECT_A-B,17.97,1,2025-10-17T11:23:11.919180
1807 ATHENS RESILIENT CITY/20201201_PHASE 2 REV1,skipped,1,0.0,0,0,0,,0.02,1,2025-10-17T11:23:29.891831
1807 ATHENS RESILIENT CITY/2020_12_old,failed,14,0.0,0,0,0,1807_01_Α111_1,0.02,1,2025-10-17T11:23:29.911119
1807 ATHENS RESILIENT CITY/20210204_KOKKEREL,skipped,2,0.0,0,0,0,,0.0,1,2025-10-17T11:23:29.931673
1807 ATHENS RESILIENT CITY/20210218 ΥΠΠΟ,failed,21,0.0,0,0,0,1807_03_A101,0.0,1,2025-10-17T11:23:29.931912
1807 ATHENS RESILIENT CITY/20210322_ADRIANOU MELETH EFARMOGHS,skipped,1,0.0,0,0,0,,0.0,1,2025-10-17T11:23:29.934757
1807 ATHENS RESILIENT CITY/20210402_ΑΒ_ΜΕΛΕΤΗ ΕΦΑΡΜΟΓΗΣ,failed,51,0.0,0,0,0,1807_02_Λ105_00,0.0,1,2025-10-17T11:23:29.934930
1807 ATHENS RESILIENT CITY/20210405_ΚΟΚΚΕΡΕΛ_ΜΕΛΕΤΗ ΕΦΑΡΜΟΓΗΣ,failed,80,0.0,0,0,0,1807_09_ME_A012-02,15.77,1,2025-10-17T11:23:29.938203
1807 ATHENS RESILIENT CITY/20210421,failed,6,0.0,0,0,0,L102,0.0,1,2025-10-17T11:23:45.712699
1807 ATHENS RESILIENT CITY/20210422_ΚΟΚΚΕΡΕΛ_ΜΕΛΕΤΗ ΕΦΑΡΜΟΓΗΣ,failed,8,0.0,0,0,0,A311-02,1.38,1,2025-10-17T11:23:45.713445
1807 ATHENS RESILIENT CITY/20210423_ΠΑΡΑΔΟΣΗ ΜΕΛΕΤΗΣ ΕΦΑΡΜΟΓΗΣ,skipped,1,0.0,0,0,0,,0.01,1,2025-10-17T11:23:47.094999
1807 ATHENS RESILIENT CITY/20210519,failed,6,0.0,0,0,0,1807_02_A012_02,0.0,1,2025-10-17T11:23:47.101002
1807 ATHENS RESILIENT CITY/20211115 ΥΠΠΟ,failed,4,0.0,0,0,0,1807_03_A311,0.0,1,2025-10-17T11:23:47.101462
